order_datetime	city	platform	cuisine_type	delivery_distance_km	delivery_time_min	items_count	basket_value	delivery_fee	tip_amount	total_paid
2025-02-21 11:10	Galway	Deliveroo	pizza 	2.68	29.3	2	13.86	2.34	7.98	24.18
2024-10-13 15:53	Dublin	Deliveroo	Thai	2.41	28.2	3	43.7	2.21	2.7	48.61
2025-04-08 10:04	Dublin	UberEats	Sushi	3.81	33.6	5	118.7	2.91	0.0	121.61
2024-08-01 19:31	Dublin	 Deliveroo 	 Cafe	3.87	39.5	2	16.37	2.94	4.53	23.84
2024-12-25 13:23	limerick	Deliveroo	Thai	1.39	25.2	5	65.42	2.0	0.0	67.42
2024-12-03 21:39	Cork	UBEREATS	Burgers	3.88	34.2	2	25.2	2.94	3.34	31.48
2024-06-17 18:55	Dublin	JustEat	thai	1.55	14.0	1	15.46	2.0	4.06	21.52
2025-03-20 23:58	Cork	Inhouse	Thai	3.49	43.5	4	44.08	0.0	0.0	44.08
2024-08-06 12:43	Galway	UberEats	Chinese	0.42	26.2	2	34.09	2.0		40.8
2025-01-29 17:56	dublin	Deliveroo	Chinese	0.81	21.3	4	40.84	2.0	0.0	42.84
2024-08-20 17:40	Cork	UberEats	Indian	4.14	34.6	1	13.7	3.07	0.0	16.77
2024-12-12 17:08	Limerick	UberEats	Chinese	3.82	50.6	2	25.35	2.91	0.0	28.26
2024-10-27 16:03	Cork	Justeat	Burgers	0.2	27.2	1	14.23	2.0	1.53	17.76
2025-04-16 21:41	Cork	UberEats	Chinese	4.15	47.2	2	24.93	3.08		33.06
2024-12-13 16:55	Limerick	UberEats	Pizza	2.54	33.1	2	24.83	2.27	0.0	27.1
2024-07-12 12:50	Dublin	UberEats	Chinese	1.24	28.1	5	39.97	2.0		44.98
2025-02-13 15:49	Galway	InHouse	Pizza	2.31	24.6	4	57.56	0.0	1.77	59.33
2025-03-18 20:52	Cork	UberEats	pizza	3.97	23.3	5	99.67	2.98	2.28	104.93
2024-06-19 13:59	Dublin	UberEats	thai	5.41	40.8	4	48.32	3.71	0.0	52.03
2024-07-27 16:06	Cork	InHouse	Pizza	2.43	34.1	5	72.92	0.0	3.57	76.49
2025-03-02 22:48	Cork 	Deliveroo	Burgers	1.56	19.1	4	36.19	2.0	4.55	42.74
2024-05-14 10:14	Galway	Deliveroo	Burgers	2.59	34.9	3	19.73	2.29	0.0	22.02
2024-08-18 22:54	Belfast	UberEats	Pizza	3.54	33.1	5	60.2	2.77	0.0	62.97
2025-02-03 19:18	Cork	deliveroo 	Burgers	2.76	37.8	1	7.71	2.38	0.0	10.09
2024-11-05 17:35	Galway	UberEats	Indian	2.31	27.6	2	14.51	2.15	3.16	19.82
