booking_date	checkin_date	country	city	hotel_segment	room_type	nights	num_guests	breakfast_included	price_per_night	total_price
2025-03-02	2025-03-17	Ireland	Dublin	Conference	Deluxe	2	2	0.0	143.98	287.95
2024-12-06	2025-01-27	Ireland	Cork	Leisure	Deluxe	5	3	1.0	137.33	686.66
2025-01-03	2025-02-12	Germany	Munich	Leisure	Family 	14	4	1.0	138.02	1932.27
2025-01-05	2025-01-24	UK	Manchester	Conference	 Suite	13	4	1.0	293.9	3820.72
2024-07-21	2024-08-18	SPAIN	Valencia	Business	Deluxe	2	4	0.0	187.21	374.43
2024-07-13	2024-08-11	Germany	Munich	leisure	Suit	9	3	1.0	178.81	1609.26
2024-07-17	2024-08-12	Spain	Valencia	Leisure	Standard	12	2	0.0	107.45	1289.36
2024-10-29	2024-12-14	Spain	Madrid	Business	Standard	8	1	0.0	70.91	567.28
2024-08-06	2024-09-28	UK	Edinburgh	Leisure	Suite	14	4	0.0	207.66	2907.28
2024-12-03	2024-12-24	Ireland	Galway	Business 	Standard	12	3	1.0	101.76	1221.14
2025-03-09	2025-04-27	UK	London	Leisure	Suite	7	3	1.0	300.77	2105.37
2024-12-13	2025-01-31	italy	Rome	Leisure	Suite	3	3	0.0	181.06	543.17
2024-06-10	2024-07-21	Germany	Munich	Business	Family	5	2	0.0	172.32	861.59
2025-04-04	2025-04-06	UK	Manchester	Conference	Standard	8	1	1.0	127.43	1019.41
2024-09-09	2024-10-05	UK	London	Business	Suite	6	4	1.0	256.51	1539.05
2024-09-11	2024-11-02	Ireland	Galway		Standard	11	2	0.0	85.27	937.93
2025-01-02	2025-02-25	SPAIN	Valencia	Business	Suite	3	4	0.0	332.59	997.76
2024-11-22	2025-01-11	Ireland	Dublin	Leisure	Deluxe	14	4	0.0	165.18	2312.52
2024-07-31	2024-08-03	Italy	Florence	Leisure	Family	2	1	0.0	158.61	317.22
2024-08-02	2024-09-01	Spain	Barcelona	Conference	Family	11	3	0.0	157.27	1729.98
2025-02-27	2025-04-26	UK	Manchester	Tour Group	Family	1	2	1.0	212.36	212.36
2025-03-19	2025-04-25	Ireland	 Cork 	Business	Suite	8	1	1.0	279.62	2236.94
2025-02-25	2025-04-06	Spain	madrid	Business	Standard	7	3	1.0	117.71	823.99
2025-02-23	2025-03-03	Germany	Munich	 Leisure 	Standard	9	2	0.0	97.72	879.49
2025-01-19	2025-02-16	 Germany	Munich	Leisure	Deluxe	10	2	1.0	166.19	1661.92
2025-03-22	2025-04-30	UK	Manchester	Tour Group	Suite	12	3	0.0	253.09	3037.1
2025-02-08	2025-02-24	UK	London	Leisure	Deluxe	5	4	0.0	148.69	743.46
2024-12-24	2025-01-03	Spain	Valencia	Leisure	Suite	8	4	0.0	225.37	1802.93
2025-02-20	2025-02-26	UK	London	Business	Family	12	2	1.0	175.97	2111.68
2025-04-17	2025-04-30	Italy	Milan	Business	Family	4	3		196.25	785.01
2024-06-27	2024-08-10	Italy	Rome	Leisure	Suite	4	1		170.69	682.76
2024-10-25	2024-12-23	Spain	BARCELONA	Business	Deluxe	4	2	1.0	134.23	536.91
2024-12-29	2025-02-03	GERMANY	Berlin	 Tour Group 	Standard	5	1	0.0	92.29	461.43
2025-01-01	2025-01-06	Ireland	Dublin	Tour Group	Family	2	1	1.0	134.91	269.83
2024-08-14	2024-09-18	Germany	Hamburg	Tour Group	Family	14	2	1.0	104.01	1456.19
2024-07-29	2024-08-22	UK	LONDON	Business	Standard	5	2	1.0	91.72	458.59
2024-11-07	2024-11-09	Germany	Munich	leisure	Standard	4	3	1.0	85.89	343.57
2024-11-09	2024-12-31	Germany	Berlin	Leisure	 deluxe	3	1	0.0	95.68	287.04
2025-02-23	2025-03-04	Germany	Berlin	Business	Suite 	3	4	0.0	156.02	468.07
2024-08-20	2024-09-29	UK	Manchester	Business	Deluxe	2	3	1.0	146.53	293.06
2024-07-22	2024-08-10	UK	London	Leisure	Suite	3	3	1.0	228.36	685.07
2024-08-18	2024-09-24	 UK	Manchester	Business	Suite	5	1	1.0	229.71	1148.57
2024-08-07	2024-09-26	 Spain 	Barcelona	 CONFERENCE	standard	1	1	1.0	135.69	135.69
2024-11-07	2024-11-26	Uk	MANCHESTER	Leisure	family	12	4	1.0	186.46	2237.55
2024-05-05	2024-05-31	Italy	Florence	 Leisure	Standard	7	1	1.0	58.05	406.36
2024-05-26	2024-06-27	 Ireland 	Cork		Deluxe	2	1	1.0	148.95	297.9
2024-10-27	2024-12-07	Ireland 	Cork	Leisure	SUITE	11	4	0.0	253.54	2788.89
2024-12-07	2025-01-11	Spain	Madrid	Leisure	Suite	1	2	1.0	293.08	293.08
2025-03-06	2025-04-08	Italy	Milan	Leisure	Deluxe	14	4	1.0	158.96	2225.48
2025-02-08	2025-02-21	Germany	Hamburg	LEISURE 	Family	2	2		183.5	367.0
2024-06-15	2024-07-13	Spain	Valencia	Conference	Suite	10	3	0.0	188.91	1889.08
2025-03-06	2025-04-07	Germany	Hamburg	Conference	delux	11	2	1.0	103.77	1141.49
2025-03-16	2025-03-22	UK	EDINBURGH	Leisure	Family	11	1	1.0	192.47	2117.13
2024-05-20	2024-07-02	Ireland	GALWAY	Business	 Suite 	3	2	1.0	312.64	937.93
2024-12-05	2024-12-12	UK	London	Conference	Deluxe	11	3	1.0	170.56	1876.13
2024-10-13	2024-12-04	Spain	Valencia	Conference	Deluxe	11	1	0.0	184.27	2027.02
2024-05-15	2024-06-22	Ireland	Galway	Leisure	Family	13	2	1.0	151.38	1967.95
2025-04-02	2025-04-30	Germany	Hamburg	Business	Standard	4	4	0.0	56.21	224.85
2024-12-08	2025-01-08	Italy	Milan		Standard	11	1	1.0	118.22	1300.46
2024-12-16	2024-12-22	Ireland	DUBLIN	Biz	Family	7	1	1.0	210.79	1475.56
2024-07-06	2024-08-07	Germany	Hamburg	Conference	Family	4	3	1.0	172.01	688.03
2025-03-31	2025-04-22	UK	Edinburgh	Leisure	Family	6	3	0.0	170.58	1023.5
2024-10-20	2024-10-26	Italy	Milan 	Tour Group	Deluxe	8	1	1.0	110.58	884.67
2024-07-11	2024-07-15	Italy	Florence	Business	Standard	14	3		83.7	1171.82
2024-05-27	2024-07-03	Spain	Madrid	Business	Deluxe 	7	2	1.0	146.51	1025.55
2024-07-19	2024-08-25	Germany	Berlin	Business	Suite	4	1	0.0	171.79	687.16
2025-04-23	2025-04-30	Spain	Madrid	Leisure	Deluxe	8	4	1.0	147.44	1179.52
2025-03-03	2025-04-17	Germany	hamburg	Leisure	Family	7	2	1.0	160.25	1121.77
2024-10-27	2024-10-28	Italy	Rome	Leisure	Family	2	1	0.0	193.14	386.27
2024-10-12	2024-11-03	Italy	florence 	Biz	Family	14	2	0.0	130.48	1826.79
