order_date	country	channel	product_category	payment_method	units	unit_price	discount_rate	order_value
2024-10-20	Spain	Web	Groceries	Card	3	16.34	0.0	49.02
2024-08-02	UK	Web	Books	Card	3	17.05	0.0	51.16
2024-06-15	UK	Website	CLOTHING	Card	2	47.43	0.0	94.86
2024-05-23	UK	Store Kiosk	Groceries		2	14.48	0.056	27.32
2024-08-26	UK	Web	Home	PayPal	5	112.68	0.0	563.42
2024-10-03	UK	Web	Electronics	PayPal	1	226.36	0.048	215.53
2024-09-03	UK	Web	Books	Card	5	22.37	0.06	105.2
2025-03-15	France	Web	Electronics	Cash	1	354.87	0.0	354.87
2024-08-22	Ireland	Web	Home	PayPal	3	62.28	0.036	180.12
2025-01-08	France	Store Kiosk	Electronics	Card 	4	282.15	0.073	1046.69
2025-03-22	Germany	 Store Kiosk	Groceries	Cash	1	13.66	0.056	12.9
2025-03-21	France	Web	Groceries	Card	2	15.0	0.064	28.07
2025-01-27	UK	Web	Clothing	card	1	27.49	0.051	26.09
2024-05-09	Germany	Web	Groceries	PayPal	4	17.01	0.061	63.85
2025-03-16	Spain	Web	Clothing	Card	1	51.44	0.0	51.44
2024-07-02	Ireland	Web	Clothing	PayPal	4	39.66	0.096	143.46
2025-01-11	UK	Web	Clothing	card	4	37.49	0.025	146.26
2025-01-16	UK	Store Kiosk	Books	paypal	2	19.29	0.04	37.03
2025-04-23	UK	Web	Clothing	 Card	4	49.47	0.065	184.94
2025-04-16	France	Web	Electronics	Voucher	2	350.0	0.018	687.18
2025-02-18	Germany	Web	Clothing	Card	1	38.24	0.0	38.24
2024-05-05	Germany	Web	Clothing	Card	4	57.0	0.109	203.11
2025-01-01	UK	mobile app	Clothing	CARD	4	49.7	0.0	198.8
2024-12-05	Ireland	Mobile App	Clothing	Card	5	54.93	0.022	268.6
2024-10-08	Ireland	Mobile App	Home	PayPal	5	81.39	0.055	384.55
2024-09-21	UK	Web	Clothing	Card	1	33.83	0.055	31.96
2025-01-06	Germany	Mobile App	 Books 	paypal	4	21.49	0.0	85.97
2025-02-13	Ireland	Store Kiosk	HOME	PayPal	2	88.02	0.043	168.51
2025-04-03	Germany	Mobile App	electronics	Voucher	1	279.98	0.041	268.44
2025-01-11	Ireland	Web	Electronics	card 	4	224.13	0.016	882.42
2025-04-30	Spain	Mobile App	Books	Paypal	5	21.68	0.008	107.58
2024-12-22	Ireland	Mobile App	Clothing	Card	2	52.03	0.104	93.19
2024-11-13	Germany	 Web	Clothing	PayPal	4	46.6	0.057	175.72
2024-09-10	Ireland	Web	Clothing	 Cash	1	54.45	0.024	53.14
2025-02-12	Ireland	Store Kiosk	Books	Card	1	20.11	0.077	18.56
2024-10-19	UK	Web	Groceries	PayPal	5	24.3	0.028	118.09
2025-04-15	Germany	Mobile App	Electronics	PayPal	1	273.0	0.0	273.0
2024-05-13	Germany	Web	Electronics	Card	4	216.47	0.024	845.34
2024-06-02	France	Web	Electronics	Card	2	253.02	0.104	453.64
2024-09-01	UK		Clothing	PayPal	3	42.99	0.041	123.63
2024-11-26	Ireland	Web	Groceries	PayPal	4	19.31	0.026	75.25
2025-03-12	 Ireland 	Store Kiosk	Electronics	Card	2	383.53	0.031	743.48
2024-09-17	Ireland	Web	home	PayPal	1	77.01	0.078	70.99
2024-09-09	Ireland	Mobile App	Groceries	Card	4	14.91	0.098	53.79
2024-07-02	UK	Web	Home	Card	3	72.07	0.068	201.43
2024-08-10	 Ireland	Web	Clothing	Card	3	33.16	0.062	93.27
2024-10-30	 Ireland	Mobile App	Groceries	Cash	5	13.53	0.08	62.22
2024-07-22	Germany	Web	Books	Card	3	15.12	0.072	42.09
2025-04-21	spain	Mobile App	Groceries	Card	1	11.4	0.0	11.4
2024-05-11	Ireland	Web	Clothing	PayPal	5	49.98	0.023	244.2
2024-05-23	UK	Store Kiosk	Clothing	Card	4	56.82	0.047	216.68
2025-01-12	Spain	Store Kiosk	Home	Card	2	66.15	0.009	131.14
2025-04-22	UK	WEB 	Groceries	Card	3	17.83	0.085	48.91
2025-02-22	Spain	Mobile App	Groceries	Card 	2	11.46	0.076	21.19
2024-11-10	 Ireland 	Web	Clothing	Credit Card	4	47.97	0.059	180.51
2025-04-20	Uk	Mobile App	Home	Card	3	103.66	0.102	279.17
2024-05-10	Ireland	Mobile App	Home	Card	2	62.34	0.033	120.53
2025-04-29	France 	Web	Electronics	Cash	5	274.31	0.0	1371.53
2024-09-08	UK	Mobile App	Groceries	 Card	2	13.55	0.0	27.1
2024-07-29	Ireland	Store Kiosk	Clothing	PayPal 	2	67.67	0.0	135.35
2024-12-06	Germany	Mobile App	Clothing	PayPal	4	47.68	0.0	190.71
2024-12-16	Spain 	Web	Clothing		5	52.61	0.055	248.59
2024-08-03	 Ireland 	Mobile App	Electronics	card	1	360.11	0.127	314.53
2024-09-29	Ireland	MOBILE APP	Books	Cash	5	15.27	0.083	69.99
2025-04-19	UK	Web	Electronics	PayPal	4	273.35	0.051	1037.82
